id,name,lat,lon,province,price_thb_per_l,price_source,osm_id
src_bkk_to_cnx,"Victory Monument, Bangkok",13.765,100.5379,Bangkok,43.58,provincial_avg,
st_0000,bkk_to_cnx_synthetic_0000,13.982764855312146,100.52453678077744,Bangkok,43.58,provincial_avg,
st_0001,bkk_to_cnx_synthetic_0001,14.11071010921466,100.38812277909126,Bangkok,43.58,provincial_avg,
st_0002,bkk_to_cnx_synthetic_0002,14.358889974174012,100.35733423680759,Bangkok,43.58,provincial_avg,
st_0003,bkk_to_cnx_synthetic_0003,14.546330868108614,100.3117256450838,Ayutthaya,43.78,provincial_avg,
st_0004,bkk_to_cnx_synthetic_0004,14.689637397952986,100.27325159672644,Ayutthaya,43.78,provincial_avg,
st_0005,bkk_to_cnx_synthetic_0005,14.965631448983167,100.17628314948293,Ayutthaya,43.78,provincial_avg,
st_0006,bkk_to_cnx_synthetic_0006,15.09273002775294,100.1154192197832,Ayutthaya,43.78,provincial_avg,
st_0007,bkk_to_cnx_synthetic_0007,15.301516345388137,100.02808226245142,Ayutthaya,43.78,provincial_avg,
st_0008,bkk_to_cnx_synthetic_0008,15.541172322894473,99.99355586478764,Nakhon Sawan,44.18,provincial_avg,
st_0009,bkk_to_cnx_synthetic_0009,15.724120998330939,99.98774173423955,Nakhon Sawan,44.18,provincial_avg,
st_0010,bkk_to_cnx_synthetic_0010,15.861620752026635,99.88678789112497,Nakhon Sawan,44.18,provincial_avg,
st_0011,bkk_to_cnx_synthetic_0011,16.04937898890664,99.84809412810749,Nakhon Sawan,44.18,provincial_avg,
st_0012,bkk_to_cnx_synthetic_0012,16.303986996606977,99.74811312802267,Nakhon Sawan,44.18,provincial_avg,
st_0013,bkk_to_cnx_synthetic_0013,16.462143514527753,99.67900869213109,Nakhon Sawan,44.18,provincial_avg,
st_0014,bkk_to_cnx_synthetic_0014,16.625977898911056,99.65715235937964,Kamphaeng Phet,44.38,provincial_avg,
st_0015,bkk_to_cnx_synthetic_0015,16.877738315056273,99.63897638807279,Kamphaeng Phet,44.38,provincial_avg,
st_0016,bkk_to_cnx_synthetic_0016,17.06837546419473,99.58979135100671,Kamphaeng Phet,44.38,provincial_avg,
st_0017,bkk_to_cnx_synthetic_0017,17.211113829633412,99.44444967543198,Kamphaeng Phet,44.38,provincial_avg,
st_0018,bkk_to_cnx_synthetic_0018,17.458885814726585,99.44183677093089,Kamphaeng Phet,44.38,provincial_avg,
st_0019,bkk_to_cnx_synthetic_0019,17.626013935732388,99.36652314412005,Lampang,44.78,provincial_avg,
st_0020,bkk_to_cnx_synthetic_0020,17.802529204441186,99.35093909329024,Lampang,44.78,provincial_avg,
st_0021,bkk_to_cnx_synthetic_0021,18.006514645536974,99.23984244652694,Lampang,44.78,provincial_avg,
st_0022,bkk_to_cnx_synthetic_0022,18.225876038901298,99.2016302316242,Lampang,44.78,provincial_avg,
st_0023,bkk_to_cnx_synthetic_0023,18.37326733640445,99.17012205500781,Chiang Mai,44.88,provincial_avg,
st_0024,bkk_to_cnx_synthetic_0024,18.572177169849894,99.05114273704612,Chiang Mai,44.88,provincial_avg,
dst_bkk_to_cnx,Chiang Mai (Highway 11 terminus),18.8,99.018,Chiang Mai,9999.0,destination_sentinel,
