id,name,lat,lon,province,price_thb_per_l,price_source,osm_id
src_bkk_to_kkc,"Victory Monument, Bangkok",13.765,100.5379,Bangkok,43.58,provincial_avg,
st_0000,bkk_to_kkc_synthetic_0000,13.948373677235285,100.7036730175291,Bangkok,43.58,provincial_avg,
st_0001,bkk_to_kkc_synthetic_0001,14.072285185787571,100.8404392515537,Bangkok,43.58,provincial_avg,
st_0002,bkk_to_kkc_synthetic_0002,14.275186768014443,100.98244015332743,Saraburi,43.88,provincial_avg,
st_0003,bkk_to_kkc_synthetic_0003,14.359758089557301,101.04015884402418,Saraburi,43.88,provincial_avg,
st_0004,bkk_to_kkc_synthetic_0004,14.570058813111814,101.21045824946842,Saraburi,43.88,provincial_avg,
st_0005,bkk_to_kkc_synthetic_0005,14.675173848186326,101.37989161539643,Saraburi,43.88,provincial_avg,
st_0006,bkk_to_kkc_synthetic_0006,14.8795941325022,101.44622025455547,Nakhon Ratchasima,43.98,provincial_avg,
st_0007,bkk_to_kkc_synthetic_0007,15.028701289296272,101.64397607414544,Nakhon Ratchasima,43.98,provincial_avg,
st_0008,bkk_to_kkc_synthetic_0008,15.14238565062633,101.78234169246917,Nakhon Ratchasima,43.98,provincial_avg,
st_0009,bkk_to_kkc_synthetic_0009,15.321151124381228,101.89086207880507,Nakhon Ratchasima,43.98,provincial_avg,
st_0010,bkk_to_kkc_synthetic_0010,15.513483769003614,102.02451959092971,Khon Kaen,44.28,provincial_avg,
st_0011,bkk_to_kkc_synthetic_0011,15.631363903715844,102.10826625281126,Khon Kaen,44.28,provincial_avg,
st_0012,bkk_to_kkc_synthetic_0012,15.846456995860756,102.30701418934443,Khon Kaen,44.28,provincial_avg,
st_0013,bkk_to_kkc_synthetic_0013,15.916588296945093,102.44879538087415,Khon Kaen,44.28,provincial_avg,
st_0014,bkk_to_kkc_synthetic_0014,16.139299276558923,102.54252196738037,Khon Kaen,44.28,provincial_avg,
st_0015,bkk_to_kkc_synthetic_0015,16.254487424923582,102.69190679265654,Khon Kaen,44.28,provincial_avg,
dst_bkk_to_kkc,Khon Kaen (Mittraphap Road),16.4322,102.8236,Khon Kaen,9999.0,destination_sentinel,
